Date,Open,High,Low,Close
2024-01-02,97.906164421861,98.79175573842136,97.906164421861,98.29120635986328
2024-01-03,98.23345217708281,99.95650180581673,98.2141960410381,99.74473571777344
2024-01-04,101.17900754769086,104.90427664513435,101.10199769305183,103.6047592163086
2024-01-05,102.57478261263536,103.1812260752852,101.76620112118813,102.0164794921875
2024-01-08,102.20899529959253,102.55553231772701,101.33302468595697,102.42076873779297
2024-01-09,102.16086262295165,102.96945144915922,101.76619995020964,102.9501953125
2024-01-10,103.79729160599561,104.70213176136696,103.65289995377816,104.60587310791016
2024-01-11,104.25932984155297,104.62512298449083,102.0164747083657,102.69992065429688
2024-01-12,102.9405779336468,103.45075541073112,102.72880448789905,103.15235137939453
2024-01-16,102.86356354997424,103.03683205759833,101.90096236185475,102.37263488769531
2024-01-17,102.34375535220751,103.10421115223406,101.59292762014849,102.69029235839844
2024-01-18,102.32450431006528,103.67214003332231,101.95871117598361,103.52775573730469
2024-01-19,103.18122511608283,103.87429915605995,102.51702793709401,102.95982360839844
2024-01-22,102.3437528838561,102.62290809566963,101.54479217529297,101.54479217529297
2024-01-23,99.82174119100975,101.5447982149229,99.51370910173314,101.42929077148438
2024-01-24,102.66140886042778,103.02719463483787,101.27526092529297,101.27526092529297
2024-01-25,101.77582464637955,101.77582464637955,100.89022599100649,101.72769165039062
2024-01-26,102.54590593539433,104.1534481967975,102.44001921455323,104.02831268310547
2024-01-29,104.08605749385104,104.9427719116211,103.67213871438409,104.9427719116211
2024-01-30,105.10641968513225,105.24118325574346,104.40371762917624,104.9427719116211
2024-01-31,107.95571911631279,111.77724680995931,107.95571911631279,110.4488525390625
2024-02-01,109.73653768340378,111.52697651734236,109.10121736113844,111.4595947265625
2024-02-02,109.50550733900594,110.31408876847416,109.00495063537566,109.44774627685547
2024-02-05,112.03715987071588,114.16450777036043,111.92164507585171,113.83722686767578
2024-02-06,113.90459898555623,114.26075672068437,112.29705678326745,113.2115249633789
2024-02-07,112.59546869823751,115.19448911970035,112.44144897402937,114.2222671508789
2024-02-08,113.6350680739281,114.19337115638747,113.11526257448199,113.96234893798828
2024-02-09,115.51214830032572,117.10044180826812,115.0115988890794,116.66726684570312
2024-02-12,115.91643688691344,116.33035570433721,114.82870015464377,116.02232360839844
2024-02-13,115.1848572724081,116.0415717094113,114.96345577625421,115.50251007080078
2024-02-14,116.00306993864169,118.72722568905003,115.8779270853853,118.6791000366211
2024-02-15,118.18816376475185,118.54432882128563,116.5613655297495,117.19668579101562
2024-02-16,117.2833269340604,119.97861323745921,117.0041790482391,119.37217712402344
2024-02-20,119.95935677555244,120.09412034770023,116.20521085870894,116.90790557861328
2024-02-21,114.5495507817811,116.46512524691978,113.87573283245537,116.4073715209961
2024-02-22,118.46732934271687,120.20001443964756,118.40957562084061,119.86309814453125
2024-02-23,119.04488806204304,119.5261886597006,118.31331644132986,118.83311462402344
2024-02-26,118.5924649488256,119.52618928824161,118.19780227558446,118.87162017822266
2024-02-27,115.48326410090644,117.97639761816599,115.30999559570223,117.65874481201172
2024-02-28,117.39883570447732,117.58173227359464,116.40735769222567,116.99454498291016
2024-02-29,115.61802918937883,115.7816696286377,114.46291070229198,115.29074096679688
2024-03-01,118.20742626522193,119.77646352383428,117.67799268565673,119.58394622802734
2024-03-04,122.56800977979023,123.95415782646492,122.24072156029685,123.1648178100586
2024-03-05,121.52839585325734,122.08670628589122,119.33366639428439,119.98823547363281
2024-03-06,119.70907407140692,120.4984066841801,118.74647296587554,120.08448791503906
2024-03-07,128.44949948251008,133.10848551162246,127.90080977809095,130.8367462158203
2024-03-08,128.8922840162691,129.78751069516417,126.19701263237032,128.0933380126953
2024-03-11,128.382109929645,128.52650891418307,125.86009963149398,126.33177947998047
2024-03-12,126.67829786213296,130.06664281703073,126.5338988988166,130.05702209472656
2024-03-13,129.21958576191793,130.43245794288578,127.73717174149573,128.4976348876953
2024-03-14,130.76936726919993,130.8367417093831,128.86340648719676,129.54685974121094
2024-03-15,128.8730624615848,128.98856991354467,126.92860378752519,127.41952514648438
2024-03-18,126.64943339377544,128.74789673511975,126.16813284523293,127.92005920410156
2024-03-19,127.10184252340952,127.26549763562943,125.62906401844708,126.45690155029297
2024-03-20,126.2451285831704,126.51465571653317,124.01190166557497,125.48468017578125
2024-03-21,124.17555704921844,126.16814861961244,122.35624133578993,124.97451782226562
2024-03-22,125.28476578327819,125.54654740931282,124.20856886969302,124.8387680053711
2024-03-25,125.07146144196913,126.28339420787968,124.79029954968239,125.11994171142578
2024-03-26,126.13796046529207,126.19613086743556,124.52851030018762,125.4689712524414
2024-03-27,124.42187001645611,124.70303191498365,123.41354104519115,124.15039825439453
2024-03-28,124.48004069847357,126.19614167923402,123.89831443604913,124.48973083496094
2024-04-01,125.17811630123434,125.17811630123434,123.27780654841446,123.6656265258789
2024-04-02,121.24176168630538,122.82211941301762,120.30130063899747,122.60881805419922
2024-04-03,121.56171055340927,124.22797023427724,121.56171055340927,123.1226806640625
2024-04-04,123.03542792323903,123.59776655698225,120.00074324610662,120.1849594116211
2024-04-05,120.87332957199,122.3276489513188,120.80546163017002,122.02709197998047
2024-04-08,123.13237873521446,123.74319023450585,122.15313491189394,123.578369140625
2024-04-09,122.33734931043386,122.88029285753309,120.43703949853553,121.05754852294922
2024-04-10,119.63231742629107,121.44537167115482,119.48688400180659,121.12541961669922
2024-04-11,121.658665938671,122.04647851858843,120.34977259177184,121.58110046386719
2024-04-12,122.88029235567902,123.19054686661876,120.5630773589929,120.71820831298828
2024-04-15,121.97861482213558,122.21131125464463,119.75835295870654,120.12678527832031
2024-04-16,119.32205817661489,120.46612306173513,118.08104014469819,119.69048309326172
2024-04-17,121.1448022585019,121.39688635733926,119.50627410868641,120.73759460449219
2024-04-18,119.54505607183707,120.32068863677291,118.77911364356417,119.01180267333984
2024-04-19,119.7195772346805,120.74729391863467,118.73063589230294,118.9730224609375
2024-04-22,118.85667178457506,122.4052146265102,118.83728411418811,121.44536590576172
2024-04-23,122.71547445956395,124.83877581903288,122.49247555665289,124.7224349975586
2024-04-24,123.28750123987444,123.44262478905364,121.53261754663987,122.31795501708984
2024-04-25,119.92317528720012,122.01739129284397,119.45778984314,121.95922088623047
2024-04-26,122.30825907062773,124.0049649825154,122.15312812238507,122.9869384765625
2024-04-29,123.44262443236438,124.07283095476352,122.66698449755766,123.01602172851562
2024-04-30,124.15039675771771,126.4870067046733,123.60744584308928,124.40247344970703
2024-05-01,123.90800650680434,126.16705091329209,123.61713968989031,125.27507019042969
2024-05-02,124.04374506931744,124.04374506931744,120.0589095353438,120.24311828613281
2024-05-03,119.17661996733467,120.00073277755384,117.59626228663086,119.30266571044922
2024-05-06,118.28464739691836,120.84424901112037,118.07134602955966,120.79576873779297
2024-05-07,122.79303468966266,123.90801436245452,122.53125305843324,123.41354370117188
2024-05-08,123.62683758278015,124.51881091118796,122.76394205968786,122.8318099975586
2024-05-09,123.558981264007,124.87756480696265,123.07420812018657,124.74182891845703
2024-05-10,125.15872662216819,126.30279893361441,124.42187677001967,124.5091323852539
2024-05-13,127.46624865547382,129.43442639008705,126.428827050654,128.37762451171875
2024-05-14,128.15463119538373,128.94966631443185,127.30144045569965,128.87210083007812
2024-05-15,128.90116674755515,130.68512823841297,128.85268647782615,130.55909729003906
2024-05-16,129.0756889796985,129.59923741277603,128.44547507988017,128.98841857910156
2024-05-17,127.92193150305982,128.06735751940747,126.86512966666336,127.87345123291016
2024-05-20,127.44685219921506,129.55076579625404,127.01055934349668,128.86239624023438
